change,ID,term,facet,level (v5),parent (v5),field changed,value in v4,value in v5,why
RENAMED,CCC_30,Gender-transformative,Cross-cutting concept,L1,(top level),Term,Gender-transformative approach,Gender-transformative,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RENAMED,CRK_110,Chilling stress,Climate risk,L6,CRK_108 Cold stress,Term,               Chilling injury,               Chilling stress,"kind mismatch with its sibling Frost: Frost names a condition, this named the damage. The facet is defined as the potential for adverse consequences, so a hazard should be the condition. ""Chilling stress"" was already in the Synonyms cell and matches the family pattern (Heat stress, Cold stress). Lolita's decision."
RENAMED,CRK_136,Biological hazard,Climate risk,L2,CRK_100 Climate hazard,Term,   Biotic hazard,   Biological hazard,"jargon label swapped with the plainer wording that was already sitting in Synonyms; ""biotic hazard"" kept as a synonym so nothing stops matching"
RENAMED,CRK_144,Soil hazard,Climate risk,L3,CRK_161 Abiotic hazard,Term,      Edaphic hazard,      Soil hazard,"jargon label swapped with the plainer wording that was already sitting in Synonyms; ""edaphic hazard"" kept as a synonym so nothing stops matching"
RENAMED,CRK_159,Marine hazard,Climate risk,L3,CRK_161 Abiotic hazard,Term,      Oceanic hazard,      Marine hazard,"jargon label swapped with the plainer wording that was already sitting in Synonyms; ""oceanic hazard"" kept as a synonym so nothing stops matching"
RENAMED,CRK_165,Climate sensitivity,Climate risk,L1,(top level),Term,   Sensitivity to climate hazard,Climate sensitivity,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RENAMED,INT_049,Forage management,Intervention,L2,INT_048 Livestock management,Term,   Feed and forage management,   Forage management,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RENAMED,INT_094,Climate model,Intervention,L1,(top level),Term,   Climate modelling,Climate model,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RENAMED,INT_096,Climate forecast,Intervention,L2,INT_091 Climate service,Term,   Climate forecasting,   Climate forecast,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RENAMED,INT_098,Climate advisory,Intervention,L2,INT_091 Climate service,Term,   Climate advisory provision,   Climate advisory,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RENAMED,INT_099,Digital climate advisory,Intervention,L3,INT_098 Climate advisory,Term,   Digital climate advisory provision,      Digital climate advisory,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RENAMED,INT_100,Early warning system,Intervention,L2,INT_091 Climate service,Term,   Early warning system operation,   Early warning system,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RENAMED,INT_110,Forecast-based finance,Intervention,L3,INT_108 Anticipatory action,Term,      Forecast-based financing,      Forecast-based finance,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RENAMED,INT_150,Training,Intervention,L1,(top level),Term,   Training delivery,Training,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RENAMED,INT_151,Curriculum,Intervention,L1,(top level),Term,   Curriculum development,Curriculum,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RENAMED,INT_160,Community of practice,Intervention,L1,(top level),Term,   Community of practice facilitation,Community of practice,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RENAMED,INT_181,Research,Intervention,L1,(top level),Term,Research and synthesis,Research,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RENAMED,INT_189,Climate-health integration,Intervention,L1,(top level),Term,Health and nutrition,Climate-health integration,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RENAMED,INT_192,Healthy diet,Intervention,L2,INT_296 Human nutrition,Term,   Sustainable healthy diet promotion,   Healthy diet,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RENAMED,INT_200,Digital sequence information,Intervention,L2,INT_021 Genetic resource policy,Term,      Digital sequence information (DSI) governance,   Digital sequence information,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RENAMED,INT_232,Agro-climate advisory,Intervention,L2,INT_091 Climate service,Term,   Agro-climate advisory provision,   Agro-climate advisory,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RENAMED,INT_264,Climate information,Intervention,L2,INT_091 Climate service,Term,   Climate information management,   Climate information,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RENAMED,OUT_040,Data platform,Output,L1,(top level),Term,Open data platform,Data platform,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RENAMED,OUT_064,Climate risk scoring tool,Output,L1,(top level),Term,Risk scoring tool,Climate risk scoring tool,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RENAMED,OUT_070,Climate observation network,Output,L1,(top level),Term,   Observation network,Climate observation network,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RENAMED,OUT_110,Carbon accounting methodology,Output,L2,OUT_030 Methodology,Term,   Carbon market methodology,   Carbon accounting methodology,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RENAMED,SYS_095,Bean,System,L5,SYS_009 Pulse,Term,         Common bean,            Bean,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
FACET CHANGED,CCC_32,Youth inclusion,Outcome,L2,OTC_116 Inclusion,Facet,Cross-cutting concept,Outcome,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
FACET CHANGED,OUT_018,Bundled climate service,Intervention,L2,INT_091 Climate service,Facet,Output,Intervention,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
FACET CHANGED,OUT_080,Biofertilizer,Intervention,L3,INT_282 Fertilizer,Facet,Output,Intervention,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
FACET CHANGED,OUT_081,Biocontrol agent,Intervention,L2,INT_283 Agricultural input,Facet,Output,Intervention,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,CCC_32,Youth inclusion,Outcome,L2,OTC_116 Inclusion,Parent ID,(top level),OTC_116 Inclusion,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,CRK_09,Climate shock,Climate risk,L2,CRK_100 Climate hazard,Parent ID,(top level),CRK_100 Climate hazard,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,CRK_10,Climate stressor,Climate risk,L2,CRK_100 Climate hazard,Parent ID,(top level),CRK_100 Climate hazard,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,CRK_120,Dust storm,Climate risk,L5,CRK_113 Storm,Parent ID,CRK_101 Atmospheric hazard,CRK_113 Storm,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,CRK_131,Glacial lake outburst flood,Climate risk,L5,CRK_122 Flood,Parent ID,CRK_121 Hydrological hazard,CRK_122 Flood,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,CRK_163,Climate exposure,Climate risk,L1,(top level),Parent ID,CRK_03 Exposure,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,CRK_164,Climate vulnerability,Climate risk,L1,(top level),Parent ID,CRK_04 Vulnerability,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,CRK_165,Climate sensitivity,Climate risk,L1,(top level),Parent ID,CRK_05 Sensitivity,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_002,Breeding,Intervention,L1,(top level),Parent ID,INT_001 Genetic resource management,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_009,Genetic resource conservation,Intervention,L1,(top level),Parent ID,INT_001 Genetic resource management,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_014,Germplasm collecting,Intervention,L1,(top level),Parent ID,INT_001 Genetic resource management,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_015,Germplasm characterization,Intervention,L1,(top level),Parent ID,INT_001 Genetic resource management,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_016,Germplasm distribution,Intervention,L1,(top level),Parent ID,INT_001 Genetic resource management,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_017,Trait discovery,Intervention,L1,(top level),Parent ID,INT_001 Genetic resource management,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_018,Seed multiplication,Intervention,L1,(top level),Parent ID,INT_001 Genetic resource management,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_019,Seed system strengthening,Intervention,L1,(top level),Parent ID,INT_001 Genetic resource management,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_020,Variety release,Intervention,L1,(top level),Parent ID,INT_001 Genetic resource management,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_021,Genetic resource policy,Intervention,L1,(top level),Parent ID,INT_001 Genetic resource management,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_057,Animal breeding,Intervention,L2,INT_002 Breeding,Parent ID,INT_048 Livestock management,INT_002 Breeding,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_094,Climate model,Intervention,L1,(top level),Parent ID,INT_091 Climate service,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_095,Earth observation,Intervention,L1,(top level),Parent ID,INT_091 Climate service,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_099,Digital climate advisory,Intervention,L3,INT_098 Climate advisory,Parent ID,INT_091 Climate service,INT_098 Climate advisory,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_101,Risk assessment,Intervention,L1,(top level),Parent ID,INT_181 Research and synthesis,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_120,Climate insurance,Intervention,L3,INT_306 Insurance,Parent ID,INT_113 Climate finance,INT_306 Insurance,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_150,Training,Intervention,L1,(top level),Parent ID,INT_149 Capacity sharing,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_151,Curriculum,Intervention,L1,(top level),Parent ID,INT_149 Capacity sharing,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_152,Coaching,Intervention,L1,(top level),Parent ID,INT_149 Capacity sharing,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_153,Fellowship,Intervention,L1,(top level),Parent ID,INT_149 Capacity sharing,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_154,Institutional twinning,Intervention,L1,(top level),Parent ID,INT_149 Capacity sharing,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_155,South-South knowledge exchange,Intervention,L1,(top level),Parent ID,INT_149 Capacity sharing,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_156,Triangular cooperation,Intervention,L1,(top level),Parent ID,INT_149 Capacity sharing,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_160,Community of practice,Intervention,L1,(top level),Parent ID,INT_149 Capacity sharing,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_161,Knowledge integration,Intervention,L1,(top level),Parent ID,INT_149 Capacity sharing,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_167,Scaling readiness assessment,Intervention,L1,(top level),Parent ID,INT_166 Scaling,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_168,Innovation bundling,Intervention,L1,(top level),Parent ID,INT_166 Scaling,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_169,Business model development,Intervention,L1,(top level),Parent ID,INT_166 Scaling,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_173,Public-private partnership development,Intervention,L1,(top level),Parent ID,INT_166 Scaling,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_182,Evidence synthesis,Intervention,L1,(top level),Parent ID,INT_181 Research and synthesis,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_183,Foresight analysis,Intervention,L1,(top level),Parent ID,INT_181 Research and synthesis,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_184,Economic analysis,Intervention,L1,(top level),Parent ID,INT_181 Research and synthesis,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_185,Political economy analysis,Intervention,L1,(top level),Parent ID,INT_181 Research and synthesis,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_186,True-cost accounting,Intervention,L1,(top level),Parent ID,INT_181 Research and synthesis,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_187,Whole-farm system analysis,Intervention,L1,(top level),Parent ID,INT_181 Research and synthesis,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_188,Spatial prioritization,Intervention,L1,(top level),Parent ID,INT_181 Research and synthesis,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_191,Nutrition-sensitive agriculture,Intervention,L2,INT_296 Human nutrition,Parent ID,INT_189 Health and nutrition,INT_296 Human nutrition,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_192,Healthy diet,Intervention,L2,INT_296 Human nutrition,Parent ID,INT_189 Health and nutrition,INT_296 Human nutrition,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_193,Food safety management,Intervention,L1,(top level),Parent ID,INT_189 Health and nutrition,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_198,Varietal adoption monitoring,Intervention,L1,(top level),Parent ID,INT_001 Genetic resource management,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_222,Mentoring,Intervention,L1,(top level),Parent ID,INT_149 Capacity sharing,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_223,Scholarship,Intervention,L1,(top level),Parent ID,INT_149 Capacity sharing,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_224,Secondment,Intervention,L1,(top level),Parent ID,INT_149 Capacity sharing,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_225,Scenario analysis,Intervention,L1,(top level),Parent ID,INT_181 Research and synthesis,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_226,Financial analysis,Intervention,L1,(top level),Parent ID,INT_181 Research and synthesis,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_237,Participatory rural appraisal,Intervention,L1,(top level),Parent ID,INT_181 Research and synthesis,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_238,Technology transfer,Intervention,L1,(top level),Parent ID,INT_166 Scaling,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_248,Renewable energy,Intervention,L1,(top level),Parent ID,INT_247 Energy management,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_250,Electrification,Intervention,L1,(top level),Parent ID,INT_247 Energy management,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_251,Bioenergy,Intervention,L1,(top level),Parent ID,INT_247 Energy management,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,INT_268,Seed exchange,Intervention,L1,(top level),Parent ID,INT_001 Genetic resource management,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,OTC_031,Knowledge,Outcome,L1,(top level),Parent ID,OTC_103 Capacity,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,OTC_033,Agency,Outcome,L1,(top level),Parent ID,OTC_103 Capacity,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,OTC_104,Skills,Outcome,L1,(top level),Parent ID,OTC_103 Capacity,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,OUT_010,Mobile application,Output,L2,OUT_008 Software tool,Parent ID,(top level),OUT_008 Software tool,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,OUT_013,Digital twin,Output,L2,OUT_012 Model,Parent ID,(top level),OUT_012 Model,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,OUT_018,Bundled climate service,Intervention,L2,INT_091 Climate service,Parent ID,(top level),INT_091 Climate service,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,OUT_024,Climate risk assessment report,Output,L2,OUT_026 Report,Parent ID,(top level),OUT_026 Report,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,OUT_025,Country profile,Output,L3,OUT_024 Climate risk assessment report,Parent ID,(top level),OUT_024 Climate risk assessment report,"R27: its own definition opens ""Climate risk assessment report that profiles..."", so it named its true genus while the Parent ID was left blank. Pre-existing, not introduced by the remediation."
RE-PARENTED,OUT_043,National adaptation plan,Output,L1,(top level),Parent ID,OUT_042 Plan,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,OUT_056,Breed,Output,L2,OUT_002 Variety,Parent ID,(top level),OUT_002 Variety,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,OUT_062,Community seed bank,Output,L2,OUT_123 Seed bank,Parent ID,(top level),OUT_123 Seed bank,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,OUT_066,Climate advisory tool,Output,L1,(top level),Parent ID,OUT_065 Climate information product,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,OUT_067,Climate information system,Output,L1,(top level),Parent ID,OUT_065 Climate information product,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,OUT_070,Climate observation network,Output,L1,(top level),Parent ID,OUT_065 Climate information product,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,OUT_080,Biofertilizer,Intervention,L3,INT_282 Fertilizer,Parent ID,(top level),INT_282 Fertilizer,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,OUT_081,Biocontrol agent,Intervention,L2,INT_283 Agricultural input,Parent ID,(top level),INT_283 Agricultural input,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,OUT_092,Sectoral adaptation plan,Output,L1,(top level),Parent ID,OUT_042 Plan,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,OUT_093,Local adaptation plan,Output,L1,(top level),Parent ID,OUT_042 Plan,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,OUT_096,Forecast,Output,L1,(top level),Parent ID,OUT_065 Climate information product,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,OUT_103,National Adaptation Programme of Action,Output,L1,(top level),Parent ID,OUT_042 Plan,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,OUT_104,Nationally Determined Contribution,Output,L1,(top level),Parent ID,OUT_042 Plan,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,OUT_105,Long-term low-emission development strategy,Output,L1,(top level),Parent ID,OUT_042 Plan,(top level),changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,OUT_106,Nationally Appropriate Mitigation Action,Output,L2,OUT_126 Mitigation plan,Parent ID,OUT_042 Plan,OUT_126 Mitigation plan,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,STK_002,Smallholder farmer,Stakeholder,L3,STK_066 Farmer,Parent ID,STK_001 Producer,STK_066 Farmer,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,STK_003,Commercial farmer,Stakeholder,L3,STK_066 Farmer,Parent ID,STK_001 Producer,STK_066 Farmer,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,STK_004,Subsistence farmer,Stakeholder,L3,STK_066 Farmer,Parent ID,STK_001 Producer,STK_066 Farmer,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,STK_008,Forest-dependent population,Stakeholder,L2,STK_009 Social group,Parent ID,(top level),STK_009 Social group,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,STK_016,Climate-vulnerable community,Stakeholder,L3,STK_068 Community,Parent ID,STK_009 Social group,STK_068 Community,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,STK_021,Extension service,Stakeholder,L2,STK_073 Service provider,Parent ID,STK_017 Public institution,STK_073 Service provider,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,STK_031,Seed company,Stakeholder,L3,STK_030 Input supplier,Parent ID,STK_028 Private sector,STK_030 Input supplier,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,STK_032,Financial service provider,Stakeholder,L2,STK_073 Service provider,Parent ID,STK_028 Private sector,STK_073 Service provider,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,STK_033,Insurance provider,Stakeholder,L3,STK_032 Financial service provider,Parent ID,STK_028 Private sector,STK_032 Financial service provider,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,SYS_001,Crop system,System,L2,SYS_115 Production system,Parent ID,(top level),SYS_115 Production system,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,SYS_018,Livestock system,System,L2,SYS_115 Production system,Parent ID,(top level),SYS_115 Production system,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,SYS_029,Aquatic system,System,L2,SYS_115 Production system,Parent ID,(top level),SYS_115 Production system,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,SYS_075,Mixed system,System,L2,SYS_115 Production system,Parent ID,(top level),SYS_115 Production system,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,TRT_01,Drought tolerance,Breeding trait,L2,TRT_09 Abiotic stress tolerance,Parent ID,(top level),TRT_09 Abiotic stress tolerance,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,TRT_02,Heat tolerance,Breeding trait,L2,TRT_09 Abiotic stress tolerance,Parent ID,(top level),TRT_09 Abiotic stress tolerance,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,TRT_03,Submergence tolerance,Breeding trait,L2,TRT_09 Abiotic stress tolerance,Parent ID,(top level),TRT_09 Abiotic stress tolerance,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
RE-PARENTED,TRT_04,Salinity tolerance,Breeding trait,L2,TRT_09 Abiotic stress tolerance,Parent ID,(top level),TRT_09 Abiotic stress tolerance,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
LEVEL CHANGED,CCC_32,Youth inclusion,Outcome,L2,OTC_116 Inclusion,Level,L1,L2,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
LEVEL CHANGED,CRK_09,Climate shock,Climate risk,L2,CRK_100 Climate hazard,Level,L1,L2,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
LEVEL CHANGED,CRK_10,Climate stressor,Climate risk,L2,CRK_100 Climate hazard,Level,L1,L2,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
LEVEL CHANGED,CRK_120,Dust storm,Climate risk,L5,CRK_113 Storm,Level,L4,L5,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
LEVEL CHANGED,CRK_131,Glacial lake outburst flood,Climate risk,L5,CRK_122 Flood,Level,L4,L5,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
LEVEL CHANGED,CRK_163,Climate exposure,Climate risk,L1,(top level),Level,L2,L1,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
LEVEL CHANGED,CRK_164,Climate vulnerability,Climate risk,L1,(top level),Level,L2,L1,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
LEVEL CHANGED,CRK_165,Climate sensitivity,Climate risk,L1,(top level),Level,L2,L1,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
LEVEL CHANGED,INT_002,Breeding,Intervention,L1,(top level),Level,L2,L1,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
LEVEL CHANGED,INT_003,Conventional breeding,Intervention,L2,INT_002 Breeding,Level,L3,L2,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
LEVEL CHANGED,INT_004,Marker-assisted selection,Intervention,L2,INT_002 Breeding,Level,L3,L2,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
LEVEL CHANGED,INT_005,Genomic selection,Intervention,L2,INT_002 Breeding,Level,L3,L2,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
LEVEL CHANGED,INT_006,Hybrid breeding,Intervention,L2,INT_002 Breeding,Level,L3,L2,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
LEVEL CHANGED,INT_007,Pre-breeding,Intervention,L2,INT_002 Breeding,Level,L3,L2,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
LEVEL CHANGED,INT_008,Participatory breeding,Intervention,L2,INT_002 Breeding,Level,L3,L2,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
LEVEL CHANGED,INT_009,Genetic resource conservation,Intervention,L1,(top level),Level,L2,L1,changed by the 3 Sep cleanup; per-row reason in v5_hierarchy_decisions.md
